timestamp_eastern,open,high,low,close,volume,cd,cdv,vwap
"May 07, 2025 12:14:50 PM",5636.0,5637.75,5634.5,5636.25,2694,2297807503182,1997159792818,5636.251484780994
"May 07, 2025 12:17:28 PM",5636.25,5637.5,5633.5,5636.0,2655,2332167241519,1962800054481,5635.153389830509
"May 07, 2025 12:18:44 PM",5636.0,5639.5,5635.5,5636.25,2512,1735166787988,2559800508012,5637.809116242038
"May 07, 2025 12:20:15 PM",5636.25,5641.0,5636.0,5639.75,2320,1576252998092,2718714297908,5639.316702586207
"May 07, 2025 12:21:26 PM",5639.75,5640.0,5632.75,5632.75,2711,2645699853629,1649267442371,5636.756086315013
"May 07, 2025 12:22:47 PM",5632.75,5634.75,5631.25,5632.0,2408,2426656521946,1868310774054,5632.99532807309
"May 07, 2025 12:24:03 PM",5631.75,5632.5,5629.5,5631.0,2309,2529735736859,1765231559141,5630.605240363794
"May 07, 2025 12:26:06 PM",5631.0,5633.25,5629.5,5632.5,2584,1846835937614,2448131358386,5631.460913312693
"May 07, 2025 12:27:42 PM",5632.5,5634.5,5631.0,5633.0,2856,2147483648116,2147483647884,5632.728728991597
"May 07, 2025 12:29:09 PM",5633.0,5633.5,5627.75,5627.75,2620,2851858283838,1443109012162,5630.379580152672
"May 07, 2025 12:30:48 PM",5627.75,5630.5,5627.5,5629.75,2879,2134598746185,2160368549815,5628.885724209795
"May 07, 2025 12:32:21 PM",5629.75,5631.75,5627.25,5631.0,2838,2061584302088,2233382993912,5629.5342670895
"May 07, 2025 12:35:02 PM",5631.0,5633.25,5630.75,5632.0,2466,1967095021834,2327872274166,5632.004866180048
"May 07, 2025 12:38:01 PM",5631.75,5634.0,5630.5,5632.5,2562,2040109465680,2254857830320,5632.315671350508
"May 07, 2025 12:40:22 PM",5632.5,5636.5,5631.0,5636.5,2421,1550483194433,2744484101567,5634.582197439075
"May 07, 2025 12:41:38 PM",5636.25,5640.75,5636.25,5640.0,3058,1937030251070,2357937044930,5639.020846958797
"May 07, 2025 12:43:00 PM",5640.0,5642.0,5637.75,5638.75,2824,2143188680714,2151778615286,5640.298512747875
"May 07, 2025 12:45:07 PM",5638.75,5642.5,5638.25,5642.25,3180,1954210119968,2340757176032,5640.654323899371
"May 07, 2025 12:47:11 PM",5642.25,5642.5,5639.0,5640.0,3153,2405181685311,1889785610689,5640.91079923882
"May 07, 2025 12:49:07 PM",5640.0,5643.75,5639.75,5641.75,3016,1791001362710,2503965933290,5642.0556200265255
"May 07, 2025 12:51:58 PM",5641.75,5643.25,5639.75,5642.5,2829,2375116914393,1919850381607,5641.78278543655
"May 07, 2025 12:53:42 PM",5642.25,5645.5,5641.5,5645.25,3065,1670742278687,2624225017313,5644.130913539967
"May 07, 2025 12:55:06 PM",5645.25,5647.75,5645.0,5647.75,2838,1885490643374,2409476652626,5646.416842847076
"May 07, 2025 12:56:55 PM",5647.75,5650.0,5645.75,5650.0,3239,1984274890963,2310692405037,5647.856591540599
"May 07, 2025 12:58:39 PM",5649.75,5650.75,5647.75,5648.5,3490,2448131358394,1846835937606,5649.511676217765
"May 07, 2025 01:00:17 PM",5648.5,5650.75,5647.25,5649.5,3756,2375116914636,1919850381364,5649.203674121406
"May 07, 2025 01:02:46 PM",5649.5,5650.75,5647.5,5648.5,3232,2293512536226,2001454759774,5649.158106435643
"May 07, 2025 01:04:52 PM",5648.75,5652.75,5648.25,5651.25,2606,1717986918884,2576980377116,5651.270145817344
"May 07, 2025 01:08:22 PM",5651.25,5651.75,5649.75,5650.0,2961,2418066587399,1876900708601,5650.687352245863
"May 07, 2025 01:12:11 PM",5650.0,5651.75,5649.25,5651.0,2988,2048699400404,2246267895596,5650.621151271754
"May 07, 2025 01:14:00 PM",5651.0,5655.5,5650.25,5654.25,2707,1675037245987,2619930050013,5653.348448466938
"May 07, 2025 01:17:15 PM",5654.25,5654.75,5652.0,5653.75,2598,2585570311774,1709396984226,5653.551770592764
"May 07, 2025 01:20:00 PM",5653.75,5654.0,5649.75,5649.75,2735,2430951489197,1864015806803,5651.497623400365
"May 07, 2025 01:21:13 PM",5649.75,5650.25,5646.25,5646.25,2520,2864743185690,1430224110310,5648.149206349206
"May 07, 2025 01:23:04 PM",5646.25,5649.25,5645.0,5649.25,2539,1825361101115,2469606194885,5646.767821977156
"May 07, 2025 01:24:45 PM",5649.25,5653.25,5647.5,5652.75,2734,1644972474954,2649994821046,5650.689831748354
"May 07, 2025 01:27:42 PM",5653.0,5653.75,5649.25,5650.5,2544,2362232012462,1932735283538,5651.426690251572
"May 07, 2025 01:31:01 PM",5650.5,5651.25,5648.25,5649.5,2708,2207613190002,2087354105998,5649.748707533235
"May 07, 2025 01:33:41 PM",5649.5,5650.5,5645.75,5646.0,2992,2340757176042,1954210119958,5648.155414438503
"May 07, 2025 01:35:43 PM",5646.0,5647.0,5642.5,5642.5,2593,2551210573445,1743756722555,5644.942826841497
"May 07, 2025 01:36:49 PM",5642.5,5642.5,5639.25,5640.75,2531,2237677960811,2057289335189,5641.25977874358
"May 07, 2025 01:38:39 PM",5640.75,5641.5,5638.0,5640.0,2897,2035814498279,2259152797721,5639.747497411115
"May 07, 2025 01:40:42 PM",5640.0,5642.0,5638.5,5639.0,2917,1894080577733,2400886718267,5640.377271169009
"May 07, 2025 01:42:57 PM",5638.75,5642.25,5638.25,5641.75,2915,1868310774261,2426656521739,5640.2018010291595
"May 07, 2025 01:45:02 PM",5641.75,5643.25,5637.75,5638.0,2502,2224793059136,2070174236864,5640.961530775379
"May 07, 2025 01:47:27 PM",5637.75,5643.5,5637.75,5642.75,2514,1803886264646,2491081031354,5641.136336515513
"May 07, 2025 01:50:49 PM",5642.75,5644.5,5641.0,5641.0,2961,2126008811405,2168958484595,5642.801502870652
"May 07, 2025 01:51:47 PM",5641.0,5643.75,5635.5,5635.75,4541,2546915604983,1748051691017,5639.704910812597
